1000 -3.00000
  31.86297 31.86297 31.86297
  19.72221 10.49567 27.46575 1
  20.27435 30.21478  9.66975 1
  15.89824 28.99156 31.76097 1
   1.90092 29.41453  3.32018 1
   4.00592  9.66649 25.46259 1
   0.65365 20.82917  4.41214 1
  26.34762  5.41059 25.33296 1
   2.80812 20.35398 24.97155 1
  21.74085 18.81897 12.30574 1
  11.89885  6.87427 20.25485 1
   9.68356 17.62206  4.79076 1
  19.12836  7.72726  6.65525 1
   8.67689  1.89241 10.88223 1
   3.52177 16.24208 30.97752 1
   8.15145 11.89095  6.73897 1
  26.34940  1.22816  1.96540 1
  31.53193 27.98271  6.58648 1
  21.88725  2.62533  4.93509 1
  29.71459 27.06560 23.83548 1
  17.70777  4.48494 22.98510 1
  23.88190 12.55091  3.26365 1
  26.24396 22.60350 29.22978 1
  21.05258 16.00545 16.56204 1
  15.36279 25.40043 23.94360 1
  11.06096 21.62211 18.52116 1
  25.35526 20.22429 13.68393 1
  13.63592 15.14741  2.35943 1
  12.19119  1.29468  9.10264 1
  24.60949  6.53073  1.48013 1
  17.83703 18.29991 25.60658 1
  20.32363 17.72635 31.41287 1
   8.41218  1.11268 23.86694 1
   3.29114  8.44966 21.27062 1
   5.30876 18.37227 17.86696 1
   6.91441 16.00745  4.74204 1
  11.92883 25.93084  4.18121 1
   6.38624 31.25083 28.15498 1
  23.33678 20.06778 30.09336 1
  11.80030  5.91188 24.60870 1
  29.72338 14.74262 21.60556 1
   7.87612  5.08350  8.60800 1
   7.82888 18.07788  9.81701 1
   7.24627  9.31680 22.85004 1
  27.87377 26.84247 20.22790 1
  12.11647 30.10419 28.56817 1
  31.70269 12.57075  8.98009 1
  11.83342 28.50008 16.22998 1
   3.06430 24.38278  7.18892 1
  19.31840 11.75852 19.57788 1
   5.68654  8.91414 31.44576 1
  19.12848 14.10387 23.29812 1
  12.45109 22.91020 22.97140 1
  31.29489 20.28101 29.22357 1
  17.67385  0.61038  6.74142 1
   4.26574 11.83892 18.01620 1
   4.57414 24.37337 22.27758 1
   3.84647 17.60921  9.03926 1
  21.86163  1.98327 12.96456 1
   5.35668  2.57291  4.98512 1
   1.34108 24.23381 29.40953 1
  14.13130  8.41944  9.01040 1
   9.59612 14.19323  4.43906 1
  21.75561 14.08304  7.01633 1
  21.04995 16.25537 19.50705 1
  27.16181  8.72889  1.65206 1
   6.40112 30.34825 12.89010 1
  23.78759  9.75531  4.76344 1
   9.31307 29.28863  0.29260 1
  29.81307  5.17133  8.53262 1
   7.06517  3.67775 13.75122 1
   2.76153 13.58971  8.15763 1
  14.19225 15.56744 23.82669 1
  16.49704 15.07057 25.90182 1
  19.02635  8.32417 20.21807 1
  13.39356 30.07667  5.58125 1
  17.77674  5.02556 18.24078 1
  16.79284 11.56276 15.94254 1
  27.83704  1.12150 10.63050 1
  16.74925  2.62802 26.53919 1
   0.92255 19.47681  7.68642 1
   1.25667  3.97185  7.24765 1
   8.55065 15.43402  9.32647 1
  21.41289  4.49993  7.71470 1
  24.87907 12.66183 31.55843 1
  22.95884 30.97001  2.12855 1
  14.84153 19.99574 24.11313 1
   3.98810 23.34204 15.05602 1
  20.88633  2.74551 27.79411 1
  20.70843 31.93733 21.43705 1
   3.09975 20.63049 31.80867 1
  16.38951 30.18525 15.14745 1
  13.21987 12.54362 17.02058 1
  21.00884 30.66689  5.26542 1
  11.67737 24.76106  7.89186 1
   1.69426  4.35962 12.70223 1
   2.53868 19.97248 16.25642 1
  12.08731  8.64080  3.83665 1
  14.10535 28.81943 23.79542 1
   5.60390 16.40829 12.23118 1
  27.49212 21.38110  2.46519 1
  31.84495 24.79578 16.66007 1
  31.28273 27.87561 14.69249 1
   2.68381 30.74576 13.73420 1
   8.62093  7.38628 26.30461 1
  26.16499 29.46578 22.28332 1
  10.42900 19.29354 21.30961 1
  13.24618 24.79522 29.15599 1
   3.07692 19.30667 21.32199 1
  29.85975  9.80905 19.03501 1
   3.93773 27.75664 27.79848 1
   6.79005  6.81166 11.62775 1
   5.51676 27.63481  4.07825 1
  24.02312 22.29405 11.25740 1
  25.28913  3.53180 21.62809 1
  17.21005 29.36712 22.27633 1
  20.12744 30.71542 16.33347 1
  22.03185 24.28063 28.81780 1
  19.77524 26.47720 15.20152 1
   5.24284 26.04410 19.38585 1
  11.73815 20.34830 14.55483 1
  14.77703  9.45647 30.74504 1
   2.85991 15.79991 20.02238 1
  22.25372 17.21350  4.02457 1
  29.24378 10.03433 14.70995 1
  28.43312 19.63478 10.78509 1
  21.01358 24.51289 23.43643 1
   1.00360 13.16257 31.24058 1
   0.50275 17.41349 24.92078 1
   4.18729 29.03372  0.79916 1
  17.13567  7.56002 15.73254 1
  24.41813  3.71470 15.13005 1
  18.90792 18.08046 15.30966 1
   4.26927 12.04368  1.14530 1
   4.86856 13.01583 11.06001 1
  22.06483 13.34375 20.88276 1
  24.80966 16.34788 31.27940 1
   1.56912  1.07415 20.97472 1
  31.73050  7.04483 12.32622 1
  20.61994 21.40830 20.21862 1
